G1
13.	 h  l:	0.4
14.	 c  e:	0.02242
15.	 b  c:	0.472
16.	 a  b:	0.3
17.	 d  h:	0.1875
18.	 g  l:	0.006726
19.	 d  l:	0.075
20.	 i  j:	0.7
21.	 e  l:	0.075
22.	 f  d:	0.02242
23.	 c  l:	0.006726
24.	 e  e:	0.25
25.	 b  g:	0.472
26.	 e  h:	0.1875
27.	 g  h:	0.016815
28.	 c  g:	0.472
29.	 f  h:	0.016815
30.	 b  l:	0.006726
31.	 i  k:	0.3
32.	 d  d:	0.25
33.	 b  d:	0.02242
34.	 f  c:	0.48199
35.	 c  f:	0.472
36.	 g  d:	0.02242
37.	 f  g:	0.472
38.	 a  g:	0.37288
39.	 c  c:	0.472
40.	 b  f:	0.472
41.	 a  d:	0.0873975
42.	 f  e:	0.02242
43.	 e  d:	0.25
44.	 g  e:	0.02242
45.	 g  g:	0.472
46.	 f  l:	0.006726
47.	 a  c:	0.37288
G9
1.	 b  h:	0.21150158848
2.	 c  d:	0.5
3.	 e  h:	0.47843
4.	 e  f:	0.7
5.	 c  h:	0.49448
6.	 b  g:	0.25413
7.	 d  f:	0.56
8.	 a  e:	0.37279
9.	 c  f:	0.64
10.	 a  b:	0.3
11.	 d  e:	0.8
12.	 a  c:	0.21
13.	 b  e:	0.496
14.	 b  f:	0.39584
15.	 d  g:	0.456
16.	 f  h:	0.816
17.	 b  c:	0.7
18.	 d  h:	0.2456
19.	 f  g:	0.2
20.	 b  d:	0.35
21.	 c  g:	0.25836
22.	 c  e:	0.4
23.	 g  h:	0.4
24.	 e  g:	0.57
25.	 a  h:	0.05646
26.	 a  d:	0.642
27.	 a  f:	0.12133
28.	 a  g:	0.05525
G10
1.	 a  b:	0.5
2.	 i  j:	0.2323
3.	 a  j:	0.19239
4.	 i  b:	0.61
5.	 i  c:	0.60761
6.	 b  d:	0.678
7.	 c  j:	0.09
8.	 d  j:	0.1
9.	 a  d:	0.5099
10.	 i  d:	0.41695
11.	 c  d:	0.9
12.	 b  c:	0.6
13.	 b  j:	0.44068
14.	 a  c:	0.86
15.	 i  a:	0.7
G11
1.	 b  c:	0.5
2.	 c  g:	0.0918528
3.	 b  f:	0.0459264
4.	 b  g:	0.0459264
5.	 d  f:	0.09984
6.	 a  c:	0.35
7.	 c  d:	0.009936
8.	 a  d:	0.00494208
9.	 e  f:	0.09984
10.	 a  f:	0.045686784
11.	 f  g:	0.09984
12.	 c  f:	0.0918528
13.	 g  e:	0.09984
14.	 d  g:	0.09984
15.	 g  d:	0.0108
16.	 b  d:	0.0459264
17.	 a  e:	0.045686784
18.	 g  g:	0.09984
19.	 f  d:	0.0108
20.	 a  b:	0.7
21.	 e  g:	0.09984
22.	 e  e:	0.09984
23.	 f  f:	0.09984
24.	 c  e:	0.0918528
25.	 g  f:	0.09984
26.	 d  d:	0.0108
27.	 b  e:	0.0459264
28.	 d  e:	0.09984
29.	 a  g:	0.045686784
30.	 e  d:	0.09984
31.	 f  e:	0.09984
G12
1.	 a  c:	0.2124
2.	 d  b:	0.27684
